2017-02-16 09:01:49,169 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,171 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,259 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,174 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,178 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,264 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,179 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,180 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,180 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,182 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,273 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,275 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,184 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,184 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,186 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,189 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,190 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,191 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,206 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,072 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,130 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,221 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,222 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,222 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,223 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,223 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,224 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,224 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,226 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,227 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,323 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:49,230 - realTime_ny1.py:88 - logging - get buzz fail, retry...
